,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xA,npxG+xA,xG,xA,xG+xA,npxG,npxG+xA,Matches
1,Luis Abram\1f462f95,pe PER,DF,Granada,25-352,1996,8,6,560,6.2,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.5,0.5,0.0,0.5,0.08,0.00,0.08,0.08,0.08,Matches
2,Marcos Acuña\81442ecb,ar ARG,DF,Sevilla,30-109,1991,21,17,1490,16.6,1,3,1,0,0,5,0,0.06,0.18,0.24,0.06,0.24,1.3,1.3,2.3,3.6,0.08,0.14,0.22,0.08,0.22,Matches
3,Martin Agirregabiria\355c883a,es ESP,DF,Alavés,25-280,1996,18,16,1457,16.2,0,1,0,0,0,3,0,0.00,0.06,0.06,0.00,0.06,0.1,0.1,0.9,1.0,0.01,0.06,0.06,0.01,0.06,Matches
4,Julen Agirrezabala\a2c1a8d3,es ESP,GK,Athletic Club,21-050,2000,4,4,360,4.0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
5,Sergio Agüero\4d034881,ar ARG,FW,Barcelona,33-257,1988,4,2,151,1.7,1,0,1,0,0,0,0,0.60,0.00,0.60,0.60,0.60,1.1,1.1,0.3,1.3,0.64,0.16,0.80,0.64,0.80,Matches
6,Álvaro Aguirre\93b054dc,es ESP,FW,Rayo Vallecano,22-011,2000,1,0,9,0.1,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.0,0.00,0.00,0.00,0.00,0.00,Matches
7,Joseph Aidoo\18abe173,gh GHA,DF,Celta Vigo,26-138,1995,18,16,1378,15.3,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.1,0.01,0.00,0.01,0.01,0.01,Matches
8,Carlos Akapo\f2a68b97,gq EQG,DF,Cádiz,28-339,1993,12,9,866,9.6,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.2,0.2,0.1,0.3,0.02,0.01,0.03,0.02,0.03,Matches
9,Ilias Akhomach\b8bd60fe,es ESP,FW,Barcelona,17-304,2004,2,2,124,1.4,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.4,0.5,0.08,0.27,0.34,0.08,0.34,Matches
10,Paul Akouokou\31f5b89b,ci CIV,MF,Betis,24-056,1997,3,2,179,2.0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.1,0.02,0.01,0.03,0.02,0.03,Matches
11,David Alaba\05439de2,at AUT,DF,Real Madrid,29-235,1992,22,22,1972,21.9,1,3,1,0,0,2,0,0.05,0.14,0.18,0.05,0.18,0.6,0.6,2.1,2.7,0.03,0.10,0.12,0.03,0.12,Matches
12,Tomás Alarcón\99ea2ddd,cl CHI,MF,Cádiz,23-026,1999,19,15,1326,14.7,0,1,0,0,0,5,0,0.00,0.07,0.07,0.00,0.07,1.0,1.0,1.1,2.1,0.07,0.08,0.15,0.07,0.15,Matches
13,Jordi Alba\4601e194,es ESP,DF,Barcelona,32-330,1989,17,17,1491,16.6,1,5,1,0,0,4,0,0.06,0.30,0.36,0.06,0.36,0.8,0.8,2.8,3.6,0.05,0.17,0.22,0.05,0.22,Matches
